职位名称,公司名称,职位月薪,工作地点,发布日期
测试开发工程师,厦门网赢集团有限公司,6001-8000,厦门-海沧区,招聘中
前端工程师 （厦门）,贵州福农宝农业科技有限公司,8001-10000,厦门,招聘中
数据挖掘工程师,厦门艾帝尔斯进出口有限公司,6001-8000,厦门,招聘中
AI 研发工程师,巴萨迪软件(厦门)有限公司,8000-15000,厦门,最近
软件测试工程师,杭州美盈网络科技有限公司,2001-4000,厦门-思明区,招聘中
运维工程师,厦门六次方信息技术有限公司,4000-8000,厦门,最新
Java工程师,厦门意外境界文化传播有限公司北京分公司,7000-14000,厦门-思明区,招聘中
数据分析师（研发中心）,厦门卫星定位应用股份有限公司,6000-10000,厦门,招聘中
深度学习算法工程师,睿视智觉(厦门)软件开发有限公司,15001-20000,厦门,最近
大数据分析-区块链,厦门链知道信息服务有限公司,5000-10000,厦门,招聘中
数据分析,厦门今立方科技有限公司,6000-10000,厦门,招聘中
IP认证系统运维工程师,福建天海通信科技集团有限公司,7500-15000,厦门,招聘中
,None,None,None,None
IP认证系统运维工程师,福建天海通信科技集团有限公司,7500-15000,厦门,招聘中
WEB渗透安全测试工程师,厦门疯狂优化信息科技有限公司,10001-15000,厦门,最近
PHP兼服务器管理员,厦门畅心游网络科技有限公司,8000-12000,厦门,最近
前端工程师,柬单点(厦门)信息科技有限公司,12000-15000,厦门,招聘中
图像识别工程师,厦门心橙便利科技有限公司,10001-15000,厦门,招聘中
金融IT产品经理,厦门宁水投资管理有限公司,6001-8000,厦门,招聘中
软件运维工程师,厦门流通宝科技有限公司,5000-10000,厦门,招聘中
区块链工程师,厦门三五互联科技股份有限公司,15001-20000,厦门,最新
AI技术专家,北京网宿科技有限公司,25000-50000,厦门,招聘中
安全工程师（开发方向）,北京网宿科技有限公司,10000-20000,厦门,招聘中
产品运营工程师,北京网宿科技有限公司,6000-12000,厦门,招聘中
测试工程师,北京网宿科技有限公司,8001-10000,厦门,招聘中
技术总监/技术经理,厦门顺唯信息技术有限公司,12000-20000,厦门,最近
数据挖掘分析师,哥们网科技有限公司,9000-18000,厦门,最新
数据挖掘工程师,厦门艾帝尔斯进出口有限公司,4001-6000,厦门,招聘中
数据挖掘工程师（hadoop方向）,飞鱼科技国际有限公司,8000-16000,厦门,招聘中
