职位名称,公司名称,职位月薪,工作地点,发布日期
前端工程师,厦门睿曾金融信息技术服务有限公司,6000-8000,厦门,招聘中
Web前端高级开发工程师,厦门日华科技股份有限公司,8000-16000,厦门,招聘中
测试开发工程师,厦门铃盛软件有限公司,10000-20000,厦门,最近
测试工程师,厦门快商通科技股份有限公司,4001-6000,厦门,招聘中
语音算法主管,厦门快商通科技股份有限公司,15001-20000,厦门-思明区,招聘中
测试工程师（WEB平台/云服务器）,厦门立林科技有限公司,4001-6000,厦门,招聘中
手游开发工程师,厦门第二世界网络科技有限公司,6000-10000,厦门,最近
语音算法工程师,厦门快商通科技股份有限公司,10001-15000,厦门-思明区,招聘中
NLP算法工程,厦门快商通科技股份有限公司,15001-20000,厦门-思明区,招聘中
C++工程师（界面）,厦门市般纳文化传媒有限公司,18000-28000,厦门,招聘中
推荐算法工程师\数据挖掘算法工程师,厦门邑通软件科技有限公司,10000-20000,厦门,最新
绑定设置师（厦门）,华强方特(厦门)动漫有限公司,5000-10000,厦门,最新
java开发工程师,厦门立达信绿色照明集团有限公司,15000-30000,厦门,最近
图像识别算法工程师,超趣(厦门)科技有限公司,15001-20000,厦门,招聘中
大数据开发工程师,北京卡洛其咨询有限公司,10001-15000,厦门,招聘中
后端工程师,新诺北斗航科信息技术(厦门)股份有限公司,10000-15000,厦门,招聘中
NLP工程师,厦门渊亭信息科技有限公司,10000-16000,厦门,招聘中
高级测试工程师,乐享宝(厦门)金融信息服务有限公司,8000-12000,厦门,最新
WEB前端开发工程师,北京农信互联科技有限公司,7500-15000,厦门,招聘中
测试开发工程师,四三九九网络股份有限公司,4000-8000,厦门,最近
服务器运维工程师,雅马哈发动机(厦门)信息系统有限公司,4000-8000,厦门,招聘中
信息安全工程师,厦门睿曾金融信息技术服务有限公司,6000-10000,厦门,招聘中
高级生物信息分析工程师,厦门安捷致善医学数据科技有限公司,8000-15000,厦门,招聘中
PHP开发工程师,厦门巴掌互动科技有限公司,10000-12000,厦门,最近
服务端程序员,厦门玩美网络科技有限公司,8000-15000,厦门-思明区,招聘中
php开发工程师,深圳市风云互动网络科技有限公司福州分公司,8000-15000,厦门,招聘中
安全工程师（开发方向）,北京网宿科技有限公司,8000-16000,厦门,招聘中
GIS（地理信息系统）工程师,新诺北斗航科信息技术(厦门)股份有限公司,10001-15000,厦门-思明区,招聘中
嵌入式工程师（语音识别及物联网方向）,厦门华联电子股份有限公司,8000-15000,厦门,最近
前端开发工程师,北京农信互联科技有限公司,6000-10000,厦门-湖里区,招聘中
网络安全工程师,厦门网赢集团有限公司,4001-6000,厦门,招聘中
中级运维工程师,厦门醉品春秋网络科技有限公司,8000-12000,厦门,招聘中
游戏开发工程师,厦门趣百网络科技有限公司,6001-8000,厦门,招聘中
自动化测试工程师,厦门节点信息技术有限公司,10001-15000,厦门,招聘中
数据分析专员（高级）,特步（中国）有限公司,6000-8000,厦门-思明区,招聘中
区块链工程师,厦门三五互联科技股份有限公司,15001-20000,厦门,最新
前端开发工程师,上海甄智信息技术有限公司,8001-10000,厦门,最近
大数据平台开发工程师,北京网宿科技有限公司,15001-20000,厦门,招聘中
高级算法工程师,科技谷(厦门)信息技术有限公司,12000-20000,厦门,招聘中
运维工程师,厦门亿联网络技术股份有限公司,8000-16000,厦门-湖里区,招聘中
,None,None,None,None
Java开发工程师,北京卡洛其咨询有限公司,10001-15000,厦门,招聘中
服务端开发工程师,蓝海(福建)信息科技有限公司,10001-15000,厦门,最新
DBA,厦门又一城网络科技有限公司,10001-15000,厦门,招聘中
机器学习算法工程师,厦门渊亭信息科技有限公司,8000-16000,厦门,最近
图像目标检测算法工程师（IOD）,北京捷通华声科技股份有限公司,15000-30000,厦门,招聘中
乐高老师,北京永同昌房地产开发集团有限公司,4000-8000,厦门,招聘中
