,职位名称,公司名称,职位月薪,工作地点,发布日期
0,,None,None,None,None
1,Python程序员,金诚集团,8000-14000,厦门,最新
2,Java+人工智能开发实习生（Python）,厦门市花泽信息技术有限公司,3500-4800,厦门,最新
3,IT培训讲师（Python）,中公教育福建分公司,8001-10000,厦门,招聘中
4,Python开发工程师,北京宇信科技集团股份有限公司,8000-12000,厦门,最新
5,python开发,北京汉克时代科技有限公司,10001-15000,厦门,招聘中
6,Python工程师,笨鸟社交,8000-15000,厦门,招聘中
7,Python 工程师,成都天用唯勤科技股份有限公司厦门分公司,10001-15000,厦门,最新
8,python开发工程师（急招）,厦门市咕啦电子商务有限责任公司,6000-10000,厦门,最新
9,python开发工程师,厦门贝游网络科技有限公司,8000-15000,厦门,招聘中
10,电子海图引擎研发工程师（C++/Python）,新诺北斗航科信息技术(厦门)股份有限公司,8001-10000,厦门-思明区,招聘中
11,Python开发（实习生）+双休,厦门匹夫有道信息技术有限公司,3000-5000,厦门,招聘中
12,python和大数据(Java),厦门亚伯锋天科技有限公司,10001-15000,厦门,招聘中
13,python和大数据(Java),厦门经纬盈创网络科技有限公司,10001-15000,厦门,招聘中
14,Python高级工程师,厦门渊亭信息科技有限公司,8000-16000,厦门,最近
15,Python开发工程师-后台,厦门集微科技有限公司,6000-12000,厦门,最近
16,Python开发工程师,厦门世纪伟业网络科技有限公司,10001-15000,厦门,招聘中
17,数据挖掘/Python工程师,厦门艾帝尔斯进出口有限公司,4001-6000,厦门,招聘中
18,python讲师,厦门布塔信息技术股份有限公司,6001-8000,厦门,最新
19,Python开发工程师,厦门水滴链动科技有限公司,8000-12000,厦门,招聘中
20,python工程师,厦门简创网络科技有限公司,4000-8000,厦门-思明区,招聘中
21,Python策略开发,福建省平潭昕弘资产管理有限公司,15000-30000,厦门,招聘中
22,Python开发工程师,厦门艾帝尔斯进出口有限公司,4001-6000,厦门,招聘中
23,python（厦门）,福建紫光信息技术有限公司,4000-8000,厦门,招聘中
24,python开发工程师,超音速(厦门)传媒科技有限公司,6001-8000,厦门,最新
25,Python开发工程师（时间管理系统事业部）,厦门中控智慧信息技术有限公司,4000-7000,厦门-集美区,招聘中
26,Python开发工程师,厦门中控智慧信息技术有限公司,4001-6000,厦门,最近
